time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449750000	16.9413	19.1094	4.72576	2.46073	0.49077	radar	2.56953	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.726	19.2236	4.72301	2.50246	0.511168	lidar	1.23883	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5365	19.3754	4.73501	2.52897	0.522707	radar	1.97597	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3178	19.5313	4.77565	2.55457	0.519884	lidar	0.400648	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0933	19.614	4.76239	2.61204	0.580718	radar	7.437	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.89	19.7555	4.77865	2.63265	0.569908	lidar	0.0579307	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6999	19.8833	4.7614	2.62918	0.485934	radar	0.310098	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4753	20.033	4.80455	2.64541	0.473916	lidar	0.108475	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2663	20.1728	4.82096	2.65564	0.450116	radar	2.15211	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0765	20.3076	4.81415	2.66491	0.434959	lidar	0.831333	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8464	20.3878	4.81317	2.70826	0.479385	radar	1.9719	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6313	20.5076	4.82347	2.72415	0.469489	lidar	0.061779	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.397	20.5918	4.83472	2.76628	0.517132	radar	0.00355143	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
